"x","y","frp_value","cofire_value","co2fire_value","pm2p5fire_value","time","country","province","amphoe"
101.350003436413,13.349999547071,0.0232877414673567,5.9125121465442e-10,8.79189521185708e-09,5.27548733864069e-11,"2021-01-19","Thailand","Chon Buri","K. Ko Chan"
101.050003426238,13.349999547071,0.0397486835718155,1.10624875926391e-09,1.45776919424634e-08,9.84581582930133e-11,"2021-09-29","Thailand","Chon Buri","Muang Chon Buri"
101.350003436413,13.1499995538564,0.0131706977263093,4.00570687730806e-10,6.49687503795349e-09,3.45421642677923e-11,"2021-05-20","Thailand","Chon Buri","Nong Yai"
101.050003426238,13.5499995402855,0.101721778512001,2.75118772208316e-09,3.90439396369402e-08,2.4571436552101e-10,"2021-02-01","Thailand","Chon Buri","Phan Thong"
101.15000342963,13.5499995402855,0.183618500828743,5.04134733958495e-09,6.99176538887514e-08,4.56761350964285e-10,"2021-07-04","Thailand","Chon Buri","Phanat Nikhom"
100.950003422846,12.7499995674273,0.0483593642711639,1.18625564926589e-09,1.92399376430785e-08,1.15080354967656e-10,"2021-04-02","Thailand","Chon Buri","Sattahip"
101.15000342963,13.0499995572492,0.0378558896481991,1.10624875926391e-09,1.45776919424634e-08,8.75183606141583e-11,"2021-09-29","Thailand","Chon Buri","Si Racha"
99.0500033584064,9.94999966242368,0.034070298075676,3.31874616676942e-09,5.34515365302468e-08,2.9537447487904e-10,"2021-09-27","Thailand","Chumphon","Lang Suan"
99.150003361798,10.44999964546,0.0454270653426647,4.42499503705562e-09,7.04588458688704e-08,3.93832633172053e-10,"2021-09-18","Thailand","Chumphon","Muang Chumphon"
99.4500033719727,10.9499996284964,0.0784204006195068,7.73006547660771e-09,1.21190609547739e-07,6.85141998690852e-10,"2021-07-02","Thailand","Chumphon","Pathiu"
98.7500033482317,9.74999966920913,0.0379849672317505,3.59673357763768e-09,5.81345283023893e-08,3.26478843959421e-10,"2019-10-24","Thailand","Chumphon","Phato"
99.0500033584064,10.2499996522455,0.0194556191563606,1.85346393788421e-09,2.99681808257901e-08,1.638019581085e-10,"2021-03-01","Thailand","Chumphon","Sawi"
99.0500033584064,10.7499996352819,0.043902326375246,4.40627756503886e-09,6.82171830135303e-08,3.79963782659587e-10,"2021-05-15","Thailand","Chumphon","Tha Sae"
