time,total_frp,total_cofire,total_co2fire,total_pm2p5fire,country
2021-08-28,0.0263859312981367,7.447696903639671e-10,1.10937596886629e-08,4.5296148776241603e-11,Cambodia
2021-08-29,0.0,0.0,0.0,0.0,Cambodia
2021-08-30,0.0593683458864689,1.48953938072793e-09,2.21875193773258e-08,1.3588843938983098e-10,Cambodia
2021-08-31,0.0,0.0,0.0,0.0,Cambodia
2021-08-01,0.0,0.0,0.0,0.0,Laos
2021-08-02,0.0,0.0,0.0,0.0,Laos
2021-08-03,0.0,0.0,0.0,0.0,Laos
2021-08-04,0.0,0.0,0.0,0.0,Laos
2021-08-05,0.0,0.0,0.0,0.0,Laos
2021-08-06,0.0527718625962734,1.48953938072793e-09,2.21875193773258e-08,1.3588843938983098e-10,Laos
2021-08-07,0.0164912063628435,7.447696903639671e-10,2.21875193773258e-08,4.5296148776241603e-11,Laos
2021-08-08,0.10224548261612701,1.0054390986446999e-08,1.55312640970351e-07,9.51219103484391e-10,Laos
2021-08-09,0.0626665856689215,5.958157744956341e-09,9.42969613504374e-08,5.43553785314899e-10,Laos
2021-08-10,0.0,0.0,0.0,0.0,Laos
2021-08-11,0.0395788960158825,3.7238485628421396e-09,6.10156831726272e-08,3.17073034494797e-10,Laos
2021-08-12,0.0,0.0,0.0,0.0,Laos
2021-08-13,0.0,0.0,0.0,0.0,Laos
2021-08-14,0.0,0.0,0.0,0.0,Laos
2021-08-15,0.0,0.0,0.0,0.0,Laos
2021-08-16,0.0,0.0,0.0,0.0,Laos
2021-08-17,0.0494736209511757,4.8410031538992396e-09,8.32031972208824e-08,4.5296147388462797e-10,Laos
2021-08-18,0.0,0.0,0.0,0.0,Laos
2021-08-19,0.0395788969472051,4.0962333525129704e-09,6.656255813197731e-08,3.62369176332145e-10,Laos
2021-08-20,0.0,0.0,0.0,0.0,Laos
2021-08-21,0.0,0.0,0.0,0.0,Laos
2021-08-22,0.0,0.0,0.0,0.0,Laos
2021-08-23,0.0758595503866673,7.07531233601344e-09,1.1648447539869301e-07,6.34146068989594e-10,Laos
2021-08-24,0.0,0.0,0.0,0.0,Laos
2021-08-25,0.04617537930607799,3.7238485628421396e-09,6.656255813197731e-08,3.17073034494797e-10,Laos
2021-08-26,0.0,0.0,0.0,0.0,Laos
2021-08-27,0.0,0.0,0.0,0.0,Laos
2021-08-28,0.0,0.0,0.0,0.0,Laos
2021-08-29,0.0,0.0,0.0,0.0,Laos
2021-08-30,0.0,0.0,0.0,0.0,Laos
2021-08-31,0.0,0.0,0.0,0.0,Laos
2021-08-01,0.0,0.0,0.0,0.0,Myanmar
2021-08-02,0.0,0.0,0.0,0.0,Myanmar
2021-08-03,0.0593683458864689,5.958157522911729e-09,9.429695779772368e-08,5.43553757559323e-10,Myanmar
2021-08-04,0.0,0.0,0.0,0.0,Myanmar
2021-08-05,0.023087689653038996,2.2343091821142004e-09,3.88281584662309e-08,2.2648073694231398e-10,Myanmar
2021-08-06,0.0527718625962734,5.21338794357007e-09,8.32031972208824e-08,4.5296147388462797e-10,Myanmar
2021-08-07,0.0,0.0,0.0,0.0,Myanmar
2021-08-08,0.0263859312981367,2.60669397178503e-09,4.43750387546515e-08,2.2648073694231398e-10,Myanmar
2021-08-09,0.0,0.0,0.0,0.0,Myanmar
2021-08-10,0.0725613087415695,7.07531233601344e-09,1.10937598662986e-07,6.34146068989594e-10,Myanmar
2021-08-11,0.0725613087415695,7.07531233601344e-09,1.10937598662986e-07,6.34146068989594e-10,Myanmar
2021-08-12,0.0725613087415695,7.07531233601344e-09,1.10937598662986e-07,6.34146068989594e-10,Myanmar
2021-08-13,0.0,0.0,0.0,0.0,Myanmar
2021-08-14,0.0,0.0,0.0,0.0,Myanmar
